WORD,MEANING
accolade,"[MEANING 1]n.[SYNONYMS]意，赞赏: an expression of approval
[MEANING 2]v.赞扬: to praise or honor"
accommodate,"[MEANING 1]v.提供所需(EXAMPLE如服务、借贷、寄宿): to provide with something desired, needed, or suited (as a helpful service, a loan, or lodgings)
[MEANING 2]v.改变以适应新情况、新场景: to change (something) so as to make it suitable for a new use or situation
[MEANING 3]v.使和谐: to bring to a state free of conflicts, inconsistencies, or differences"
accost,[MEANING 1]vt.以挑衅的形式搭讪: to approach and speak to often in a challenging or aggressive way
accrete,"[MEANING 1]v.逐渐增长: to grow or increase gradually, as by addition"
accumulate,[MEANING 1]vi.逐渐增长: to increase gradually in quantity or number
acerbic,[MEANING 1]adj.酸涩的心情、心境或者语调: marked by the use of wit that is intended to cause hurt feelings
acme,"[MEANING 1]n.顶点，极点: the highest point or stage, as of achievement or development
[MEANING 2]n.最佳典范: the most perfect type or example"
acquiesce,"[MEANING 1]v.勉强[SYNONYMS]意；默许: to accept, comply, or submit tacitly or passively"
acrid,"[MEANING 1]adj.辛辣的，剌鼻的: sharp and harsh or unpleasantly pungent in taste or odor : irritating
[MEANING 2]adj.刻薄的: marked by the use of wit that is intended to cause hurt feelings"
acrimonious,[MEANING 1]adj.刻薄的，充满仇恨的: having or showing deep-seated resentment
acumen,[MEANING 1]n.不[SYNONYMS]寻常的洞察力和鉴别力: exceptional discernment and judgment especially in practical matters
acute,"[MEANING 1]adj.敏锐的: marked by keen discernment or intellectual perception especially of subtle distinctions，penetrating
[MEANING 2]adj.严重的，急性的: needing immediate attention
[MEANING 3]adj.(程度、影响)极强: extreme in degree, or effect"
adamant,"[MEANING 1]adj.固执的，不可动摇的: unshakable or insistent especially in maintaining a position or opinion, unyielding; inflexible"
adapt,[MEANING 1]vt.修改，使适应: to modify according with the changing circumstances
addict,"[MEANING 1]v.沉溺，上瘾: to devote or surrender (oneself) to something habitually or obsessively
[MEANING 2]n. 对某事上瘾的人: a person with a strong and habitual liking for something"
adhere,"[MEANING 1]v.依附，粘着: to cause to stick fast
[MEANING 2]v.服从命令: to act according to the commands of
[MEANING 3]v.坚定地支持: to give steadfast support to"
adjourn,[MEANING 1]vi.延期，休会: to suspend a session indefinitely or to another time or place
adjunct,[MEANING 1]n.附属物，非必须部分: something joined or added to another thing but not essentially a part of it
ad-lib,[MEANING 1]adj.即兴的: made or done without previous thought or preparation
admonish,"[MEANING 1]v.建议: to give advice to
[MEANING 2]v.责备: to reprove gently but earnestly"
adore,"[MEANING 1]vt.喜爱，感到愉悦: to take pleasure in
[MEANING 2]vt.宠爱: to feel passion, devotion, or tenderness for"
adulate,[MEANING 1]v.极度谄媚: to praise too much
adulterate,"[MEANING 1]vt.掺杂，加入低等成分: to corrupt, debase, or make impure by the addition of a foreign or inferior substance or element"
adumbrate,"[MEANING 1]vt.部分地或有保留地揭露: to disclose partially or guardedly
[MEANING 2]vt.预示着: to give a slight indication of beforehand"
adventitious,[MEANING 1]adj.外来的，后天的: coming from another source and not inherent or innate
adversary,"[MEANING 1]n.敌手，对手: one that contends with, opposes, or resists : enemy"
advert,[MEANING 1]vi.引起注意；提到: to call attention; refer:
advocate,"[MEANING 1]vt.支持，提倡: to speak, plead, or argue in favor of; support"
affable,[MEANING 1]adj.和蔼的，温和的: characterized by ease and friendliness
affinity,"[MEANING 1]n.喜欢，亲切感: a habitual attraction to some activity or thing
[MEANING 2]n.相似: the fact or state of having something in common"
affluent,[MEANING 1]adj.富裕的: having a generously sufficient and typically increasing supply of material possessions
aggrandize,"[MEANING 1]vt.增加、提高力量、财富、地位、声誉等: to enhance the power, wealth, position, or reputation of"
aggravate,"[MEANING 1]vt.加重，恶化: to make worse, more serious, or more severe
[MEANING 2]v.使不爽: to disturb the peace of mind of (someone) especially by repeated disagreeable acts"
aggregate,"[MEANING 1]n.集合体: a mass or body of units or parts somewhat loosely associated with one another
[MEANING 2]v.集合，聚集: to collect or gather into a mass or whole"
aggressive,"[MEANING 1]adj.好斗的: having a quality of anger and determination that makes it ready to attack others
[MEANING 2]adj.强有力的，强烈的: marked by or uttered with forcefulness"
aggrieve,"[MEANING 1]vt.使苦恼,悲痛: to give pain or trouble to, distress"
agitate,"[MEANING 1]v.煽动，激起: to attempt to arouse public feeling
[MEANING 2]v.使不安: to excite and often trouble the mind or feelings of : disturb"
agog,[MEANING 1]adj.极度感兴趣的: showing urgent desire or interest
agonize,[MEANING 1]v.使非常痛苦: to feel deep sadness or mental pain
airtight,"[MEANING 1]adj.无瑕疵的: having no noticeable weakness, flaw, or loophole
[MEANING 2]adj.密封的，不透气的: impermeable to air or nearly so"
alacrity,[MEANING 1]n.ANTONYM应迅速，乐意: promptness in response : cheerful readiness
alibi,[MEANING 1]n.不在场的证明；托辞，借口: an excuse usually intended to avert blame or punishment (as for failure or negligence)
alienate,"[MEANING 1]v.疏远，离间: to make unfriendly, or indifferent especially where attachment formerly existed
[MEANING 2]v.转移、变卖(财产或权利): to convey or transfer (as property or a right) usually by a specific act rather than the due course of law"
align,"[MEANING 1]vt.排成一行: to bring into line or alignment
[MEANING 2]vt.调准，校准: to adjust to produce a proper relationship or orientation"
allay,"[MEANING 1]vt.减轻: to subdue or reduce in intensity or severity, alleviate"
allegiance,"[MEANING 1]n.忠诚: devotion or loyalty to a person, group, or cause"
alleviate,"[MEANING 1]v.缓和，减轻: relieve, lessen"
allude,[MEANING 1]vi.间接提到: to convey an idea indirectly
allure,"[MEANING 1]vt.吸引: to attract or delight as if by magic
[MEANING 2]v.诱惑做某事: to lead away from a usual or proper course by offering some pleasure or advantage"
ally,"[MEANING 1]n.盟友，支持者: one in helpful association with another
[MEANING 2]v.加入联盟: to enter into an alliance"
aloft,[MEANING 1]adv在空中: in the air especially : in flight (as in an airplane)
aloof,[MEANING 1]adj.孤高的，不合群的: removed or distant either physically or emotionally
altruism,[MEANING 1]n.利他主义: unselfish regard for or devotion to the welfare of others
amalgamate,[MEANING 1]v.合并，混合: to combine into a unified or integrated whole; unite
ambiguous,[MEANING 1]adj.有多种理解方式的；不确定的: open to more than one interpretation； doubtful or uncertain
amble,[MEANING 1]vi. / n漫步，闲逛: to walk slowly or leisurely; stroll
ambrosial,[MEANING 1]adj.(食物或者气味)特别美味的: something extremely pleasing to taste or smell
ameliorate,[MEANING 1]vt.改善，改进: to make or become better; improve
amenable,"[MEANING 1]adj. 顺从的，服从的: readily brought to yield, submit, or cooperate"
amenity,"[MEANING 1]n.(环境，设备等的)舒适，人性化: something that conduces to comfort, convenience, or enjoyment
[MEANING 2]n.融洽，和谐: the quality of being pleasant or agreeable"
amiable,"[MEANING 1]adj.好脾气的，友好易相处的: being friendly, sociable, and congenial"
amicable,[MEANING 1]adj.友善的: characterized by friendly goodwill; amiable
amity,[MEANING 1]n.友好，亲善和睦关系: friendship; especially: friendly relations between nations
amorphous,"[MEANING 1]adj.无固定形状的: having no definite form: shapeless
[MEANING 2]adj.不可归类的 : being without definite character or nature : unclassifiable"
analgesic,[MEANING 1]n.镇痛剂: a medication that reduces or eliminates pain
anarchist,"[MEANING 1]n.ANTONYM抗权威的人: a person who rebels against any authority, established order, or ruling power"
anathema,[MEANING 1]n.诅咒: a ban or curse solemnly pronounced by ecclesiastical authority and accompanied by excommunication
ancillary,"[MEANING 1]adj.次要的: of secondary importance
[MEANING 2]adj.辅助的，补充的: auxiliary, supplementary"
anecdote,"[MEANING 1]n.短小有趣的故事: a usually short narrative of an interesting, amusing, or biographical incident"
anemic,"[MEANING 1]adj.缺乏力量、活力、精神的: lacking force, vitality, or spirit"
anesthetic,"[MEANING 1]n.止痛剂: something (as a drug) that relieves pain
[MEANING 2]adj.无感觉的，麻木的: lacking awareness or sensitivity"
animate,"[MEANING 1]adj.活的: having or showing life
[MEANING 2]adj.有活力的: having much high-spirited energy and movement
[MEANING 3]v.使有活力，支持: to give spirit and support to
[MEANING 4]v.使行动，驱使: to move to action
[MEANING 5]v.使活灵活现，使栩栩如生: to make or design in such a way as to create apparently spontaneous lifelike movement"
animus,"[MEANING 1]n.敌意: a usually prejudiced and often spiteful or malevolent ill will, enmity"
annoy,[MEANING 1]vt.不断烦扰: to disturb or irritate especially by repeated acts
annul,"[MEANING 1]v.宣告无效，取消: to declare or make legally invalid or void
[MEANING 2]v.抵消 to balance with an equal force so as to make ineffective"
anomalous,"[MEANING 1]adj.不普通的，不平常的being out of the ordinary
[MEANING 2]adj.ANTONYM常的，不正常的 departing from some accepted standard of what is normal"
anonymous,"[MEANING 1]adj.匿名的: not named or identified
[MEANING 2]adj.无特色的 lacking individuality, distinction, or recognizability"
antagonize,"[MEANING 1]vt.敌对,ANTONYM对: to act in opposition to : counteract
[MEANING 2]vt.激起敌意: to incur or provoke the hostility of"
antediluvian,"[MEANING 1]adj.非常古老的，过时的: extremely old and antiquated
[MEANING 2]n.保守的人: a person with old-fashioned ideas"
anterior,[MEANING 1]adj.前面的: coming before in time or development
antic,[MEANING 1]adj.滑稽可笑的: characterized by clownish extravagance or absurdity
apathy,"[MEANING 1]n.冷漠，缺乏情感: lack of feeling or emotion
[MEANING 2]n.缺乏兴趣，不关心: lack of interest or concern"
aphorism,[MEANING 1]n.短小有智慧的格言: a short witty sentence which expresses a general truth or comment
apocalyptic,"[MEANING 1]adj.预言的，启示的: of a revelatory or prophetic nature
[MEANING 2]adj.重要的，转折点的 of, relating to, or being a major turning point
[MEANING 3]adj.夸大的 wildly unrestrained : grandiose"
apocryphal,[MEANING 1]adj.假的: of doubtful authenticity : spurious
apoplectic,[MEANING 1]adj.极度愤怒的: extremely angry; furious
apostasy,"[MEANING 1]n.放弃宗教信仰: renunciation of a religious faith
[MEANING 2]n.变节，背叛: abandonment of a previous loyalty : defection"
appall,"[MEANING 1]vt.使惊恐: to overcome with consternation, shock, or dismay"
appeal,"[MEANING 1]n.申请: an application (as to a recognized authority) for corroboration, vindication, or decision
[MEANING 2]n.起诉 to charge with a crime : accuse"
appealing,"[MEANING 1]adj.吸引人的attractive, inviting"
applause,[MEANING 1]n.鼓掌，认可: approval publicly expressed (as by clapping the hands)
apposite,[MEANING 1]adj.相关的，合适的 highly pertinent or appropriate: apt
appreciable,"[MEANING 1]adj.可感知的,明显的: capable of being perceived or measured; perceptible"
apprehension,"[MEANING 1]n.忧虑，恐惧: suspicion or fear especially of future evil
[MEANING 2]n.逮捕: seizure by legal process : arrestment
[MEANING 3]n.理解: the knowledge gained from the process of coming to know or understand something"
apprise,[MEANING 1]v.通知，告知: to give notice to; inform
approbation,[MEANING 1]n.[SYNONYMS]意: an expression of warm approval
appropriate,"[MEANING 1]v.私自挪用 to take possession of or make use of exclusively for oneself, often without permission
[MEANING 2]adj.适当的: especially suitable or compatible: fitting"
apropos,"[MEANING 1]adj.相关的: being both relevant and opportune
[MEANING 2]prep关于，有关: having to do with"
apt,"[MEANING 1]adj.恰当的,合适的: exactly suitable; appropriate
[MEANING 2]adj.有...倾向的，可能的: having a tendency : likely
[MEANING 3]adj.聪明的 keenly intelligent and responsive"
archaic,[MEANING 1]adj.过时的，久远的: no longer current or applicable; antiquated
archetype,"[MEANING 1]n.典范，榜样: an ideal example of a type
[MEANING 2]n.先驱，鼻袓: something belonging to an earlier time from which something else was later developed
[MEANING 3]n.原型: something from which copies are made"
ardor,[MEANING 1]n.狂热: strong enthusiasm or devotion; zeal
arduous,[MEANING 1]adj.难以做到，费劲的: hard to accomplish or achieve: difficult
argot,[MEANING 1]n.隐语，黑话，行话: a specialized vocabulary or set of idioms used by a particular group
arrest,"[MEANING 1]vt.使不活跃: to make inactive
[MEANING 2]n./v.停止: the stopping of a process or activity; to bring to a standstill
[MEANING 3]v.逮捕: to take or keep under one's control by authority of law
[MEANING 4]v.吸引注意力: to hold the attention of as if by a spell"
arresting,[MEANING 1]adj.吸引人的: attracting and holding the attention; striking
arrhythmic,[MEANING 1]adj.不规律的: lacking rhythm or regularity
arrogance,[MEANING 1]n.傲慢，自大: overbearing pride
articulate,"[MEANING 1]v.清晰地表达: to utter clearly and distinctly
[MEANING 2]adj.表达清晰的: able to express oneself clearly and well"
ascendant,"[MEANING 1]adj.有影响力的，主宰的: dominant in position or influence; superior
[MEANING 2]adj.上升的: moving upward : rising"
ascetic,"[MEANING 1]adj.禁欲的: practicing strict self-denial as a measure of personal and especially spiritual discipline
[MEANING 2]n.禁欲者: a person who renounces material comforts and leads a life of austere self-discipline, especially as an act of religious devotion"
aseptic,"[MEANING 1]adj.消毒的，无菌的: preventing infection
[MEANING 2]adj.缺乏活力的: lacking vitality
[MEANING 3]adj.冷漠的: emotion, or warmth"
askew,"[MEANING 1]adj.不成直线，歪的: out of line, awry"
aspect,[MEANING 1]n.外表，容貌: appearance to the eye or mind
asperity,"[MEANING 1]n.(举止、性情)粗暴: roughness of manner or of temper
[MEANING 2]n.(环境)艰苦: rigor, severity"
aspersion,[MEANING 1]n.诽谤，中伤: a false or misleading charge meant to harm someone's reputation
aspirant,"[MEANING 1]n.有抱负者，有野心者: one who aspires, as to advancement, honors, or a high position
[MEANING 2]adj.想成为...的: seeking to attain a desired position or status"
assent,[MEANING 1]vi.[SYNONYMS]意: to agree to something especially after thoughtful consideration
assert,[MEANING 1]vt.断言，肯定地说出: to state or declare positively and often forcefully or aggressively
assertive,[MEANING 1]adj.武断的，强烈自信的: inclined to bold or confident assertion; aggressively self-assured
assess,"[MEANING 1]v.评估重要性、尺寸、价值等: to determine the importance, size, or value of
[MEANING 2]v.征收费用(如罚款): to establish or apply as a charge or penalty"
assiduous,[MEANING 1]adj.勤勉的，专心仔细的: marked by careful unremitting attention or persistent application; busy
assuage,"[MEANING 1]vt.缓和，减轻: to lessen the intensity of
[MEANING 2]vt.平息，抚慰: to pacify or calm
[MEANING 3]vt.使满足: to put an end to by satisfying"
astounding,[MEANING 1]adj.令人吃惊的，出乎意料的: causing astonishment or amazement
astute,[MEANING 1]adj.机敏的，有洞察力的: having or showing shrewdness and perspicacity
asunder,"[MEANING 1]adv分离成多部分或多片: into separate parts or pieces
[MEANING 2]adv分离: apart from each other in position"
asylum,[MEANING 1]n.收容所/ 保护所: an inviolable place of refuge and protection giving shelter to criminals and debtors/ something (as a building) that offers cover from the weather or protection from danger
asymmetrical,"[MEANING 1]adj.不平衡的,不对称的: having no balance or symmetry"
atone,"[MEANING 1]v.赎罪，弥补: to make amends, as for a sin or fault"
atrocious,"[MEANING 1]adj.极坏的，极其残忍的: extremely wicked, brutal, or cruel
[MEANING 2]adj.让人极为不满意的extremely unsatisfactory"
attenuate,"[MEANING]v.使降低(数量，力量，价值): to lessen the amount, force, magnitude, or value of"
audacious,"[MEANING 1]adj.大胆的，(但往往)愚勇的: fearlessly, often recklessly daring; bold
[MEANING 2]adj.蔑视(法律、礼节)的，无礼的: contemptuous of law, religion, or decorum
[MEANING 3]adj.乐于冒险的: inclined or willing to take risks
[MEANING 4]adj.大胆创新的: marked by originality and verve"
augur,"[MEANING 1]n.预言家: one who predicts future events or developments
[MEANING 2]v.出现好兆头: to show signs of a favorable or successful outcome
[MEANING 3]vt.预言: to tell of or describe beforehand"
authentic,"[MEANING 1]adj.真实的，非仿造的: being exactly as appears or as claimed
[MEANING 2]adj.准确的，相符合的: following an original exactly"
authority,"[MEANING 1]n.(某领域的)权威人士: a person with a high level of knowledge or skill in a field
[MEANING 2]n.管辖权，控制: lawful control over the affairs of a political unit (as a nation)
[MEANING 3]n.影响力: the power to direct the thinking or behavior of others usually indirectly
[MEANING 4]n.(管束他人的)权力: the right or means to command or control others
[MEANING 5]n.根据，理由: a warrant for action"
autocracy,[MEANING]n.独裁政府: government in which a person possesses unlimited power
autonomy,"[MEANING 1]n.政治上的独立: the quality or state of being self-governing
[MEANING 2]n.自我主导的自由，尤其是精神独立: self-directing freedom and especially moral independence"
avarice,[MEANING]n.贪财，贪婪: excessive or insatiable desire for wealth or gain
aver,"[MEANING 1]v.声称为真: to state as a fact usually forcefully
[MEANING 2]v.(态度强硬而明确地)声明: to state clearly and strongly"
aversion,"[MEANING 1]n.非常讨厌，极厌恶: a dislike so strong as to cause stomach upset or queasiness
[MEANING 2]n.令人厌恶的事物: something or someone that is hated"
avid,"[MEANING 1]adj.急切渴望的: marked by keen interest and enthusiasm
[MEANING 2]adj.贪婪(钱财)的: having or marked by an eager and often selfish desire especially for material possessions"
awash,"[MEANING 1]adj.被淹没的: containing, covered with, or thoroughly penetrated by water
[MEANING 2]adj.(如洪水般)泛滥的: filled, covered, or completely overrun as if by a flood"
awe,"[MEANING]n./v.敬畏: an emotion variously combining dread, veneration, and wonder that is inspired by authority or by the sacred or sublime"
awkward,"[MEANING 1]adj.缺乏灵活性和技巧的: lacking dexterity or skill
[MEANING 2]adj.(处理问题)缺乏手段和智谋的: showing or marked by a lack of skill and tact (as in dealing with a situation)
[MEANING 3]adj.臃肿笨拙的，不优雅的: lacking ease or grace (as of movement or expression)
[MEANING 4]adj.令人尴尬的: causing embarrassment
[MEANING 5]adj.(因过大过重或设计问题)难以操作的: difficult to use or operate especially because of size, weight, or design"
awning,[MEANING]n.雨篷，遮阳篷: a piece of material attached to a caravan or building which provides shelter from the rain or sun
awry,"[MEANING 1]adj.弯曲或扭曲的: in a turned or twisted position or direction
[MEANING 2]adj./adv走样的(地)，出差错的(地): off the correct or expected course"
axiomatic,"[MEANING 1]adj.公理的: based on or involving an axiom or system of axioms
[MEANING 2]adj.不言自明的: taken for granted, self-evident"
babble,"[MEANING 1]v.发出含糊无意义的嘟囔声，胡乱说: to utter a meaningless confusion of words or sounds
[MEANING 2]v.闲聊: to engage in casual or rambling conversation"
backhanded,"[MEANING]adj.间接的，含沙射影的，虚情假意的: indirect, devious, especially sarcastic"
badger,[MEANING]vt.不断纠缠或骚扰: to harass or annoy persistently
badinage,"[MEANING]n.打趣，善意的玩笑: playful repartee, banter"
bait,"[MEANING 1]v.逗弄，激怒: to persecute or exasperate with unjust, malicious, or persistent attacks
[MEANING 2]v.引诱: to lead away from a usual or proper course by offering some pleasure or advantage
[MEANING 3]n.诱饵: something (as food) used in luring especially to a hook or trap"
bale,"[MEANING]n.痛苦，悲哀: woe, sorrow"
baleful,"[MEANING 1]adj.有害的: harmful or malignant in intent or effect
[MEANING 2]adj.凶兆的: foreboding or threatening evil
[MEANING 3]adj.致命的: likely to cause or capable of causing death"
balk,"[MEANING 1]v.阻碍: to check or stop by or as if by an obstacle
[MEANING 2]v.不愿接受，拒绝: to show unwillingness to accept, do, engage in, or agree to"
balky,"[MEANING]adj.不服管束的，倔强的: refusing or likely to refuse to proceed, act, or function as directed or expected"
ballad,"[MEANING 1]n.由简单诗节和叠句组成的民歌: a narrative poem, often of folk origin and intended to be sung, consisting of simple stanzas and usually having a refrain"
balloon,[MEANING 1]v.迅速增加: to increase rapidly
balm,"[MEANING 1]n.香油，止痛膏，安慰物: a sweet-smelling oil that heals wounds or reduce pain
[MEANING 2]n.香气: a sweet or pleasant smell"
banal,"[MEANING 1]adj.非原创的，陈腐的: lacking originality, freshness, or novelty; trite"
bane,"[MEANING 1]n.祸根: a source of harm or ruin
[MEANING 2]n.有害的物质: a substance that by chemical action can kill or injure a living thing"
banish,"[MEANING 1]vt.驱逐出境: to require by authority to leave a country
[MEANING 2]vt.赶出: to drive or force out"
banter,"[MEANING]n./v.幽默、打趣的(地)谈话: good-humored, playful conversation"
barb,[MEANING 1]n.尖锐而严厉的批评: a biting or pointedly critical remark or comment
barbarous,"[MEANING 1]adj.野蛮的，凶残的: mercilessly harsh or cruel
[MEANING 2]adj.未开化的: uncivilized"
barefaced,[MEANING 1]adj.公然的，厚颜无耻的: undisguisedly bold; brazen
bargain,"[MEANING 1]n.协议: an agreement between parties settling what each gives or receives in a transaction
[MEANING 2]vi.讨价还价: to negotiate over the terms of a purchase"
baroque,"[MEANING 1]adj.华丽装饰的，过分雕琢，复杂的: characterized by extravagance, complexity, or flamboyance
[MEANING 2]adj.(程度)过分的: going beyond a normal or acceptable limit in degree or amount"
barrage,"[MEANING 1]n.弹幕: a heavy curtain of artillery fire directed in front of friendly troops to protect them
[MEANING 2]n.有压倒之势的、集中的倾泻(如言语): an overwhelming, concentrated outpouring, as of words
[MEANING 3]v.([SYNONYMS]时)袭来: to attack with a rapid or overwhelming outpouring of many things at once"
barren,"[MEANING 1]adj.不育的: incapable of producing offspring
[MEANING 2]adj.不产生结果的，无效的: producing no results; unproductive
[MEANING 3]adj.贫瘠的: deficient in production of vegetation and especially crops
[MEANING 4]adj.极度匮乏的: utterly lacking in something needed, wanted, or expected"
barricade,"[MEANING 1]n.障碍物: an obstruction or rampart thrown up across a way or passage
[MEANING 2]v.用障碍物阻止通过: to prevent access to by means of a barricade"
barter,[MEANING 1]v.以物换物: to trade (goods or services) without the exchange of money
batch,"[MEANING 1]n. 一批次的量: a number of things considered as a unit
[MEANING 2]n.一小群人: a usually small number of persons considered as a unit"
bathetic,[MEANING 1]adj.平凡的，陈腐的: characterized by exceptional commonplaceness
bawdy,[MEANING 1]adj.下流的，猥亵的: boisterously or humorously indecent
bedeck,[MEANING 1]vt.装饰，点缀: to make more attractive by adding something that is beautiful or becoming
belabor,"[MEANING 1]v.(当众)严厉批评: to criticize harshly and usually publicly
[MEANING 2]v.就...作过度的说明，喋喋不休: to explain or insist on excessively"
beleaguer,"[MEANING 1]vt.包围，围攻: to surround (as a fortified place) with armed forces for the purpose of capturing or preventing commerce and communication
[MEANING 2]vt.使困扰，使烦恼，使消沉: trouble, harass, beset"
belie,"[MEANING 1]v.错误地描述；误述: to picture falsely; misrepresent
[MEANING 2]v.证明...为假: to show (something) to be false or wrong
[MEANING 3]v.掩饰: to keep secret or shut off from view
[MEANING 4]v.与...相对立；与...相矛盾: to be counter to; contradict"
bellwether,[MEANING 1]n.领导者，带头人: one that takes the lead or initiative
beneficent,"[MEANING 1]adj.仁慈的，好慈善的: characterized by or performing acts of kindness or charity
[MEANING 2]adj.(对个人或社会)有益的: promoting or contributing to personal or social well-being"
benign,"[MEANING 1]adj.好心的，仁慈的: showing kindness and gentleness
[MEANING 2]adj.无害的: not causing or being capable of causing injury or hurt"
berate,[MEANING 1]v.(长时间)严厉指责: to scold or condemn vehemently and at length
beseech,[MEANING 1]v.(急切地)恳求: to beg for urgently or anxiously
besmirch,"[MEANING 1]v.弄脏，弄污: to make dirty; soil
[MEANING 2]v.诽谤，玷污: to detract from the honor or luster of"
bifurcate,[MEANING 1]vi./vt.(使)分成两支: (to cause) to divide into two branches or parts
bigot,[MEANING 1]n.固执己见者，有偏见的人: a person obstinately devoted to his own opinions and prejudices
bland,"[MEANING 1]adj.味道平淡的: not irritating or stimulating; soothing
[MEANING 1]adj.味道平淡的: not irritating or stimulating; soothing
[MEANING 2]adj.无趣的: dull, insipid
[MEANING 3]adj.温和的，和蔼的: not harsh or stern especially in nature or effect"
blandishment,[MEANING 1]n.甜言蜜语，讨好某人的话: something that tends to coax or cajole
blasé,[MEANING 1]adj.(过度放纵之后)厌倦享乐的，腻烦的: apathetic to pleasure or excitement as a result of excessive indulgence or enjoyment
